id,date,invoice_number,state,customer_company_id,id,name,city,country,finance_number,sales_order_id
2586,2019-01-22,14052-RR,complete,34,34,CEDAR PARK SALES LLC,CEDAR PARK,US,,
2587,2019-01-23,14541,complete,34,34,CEDAR PARK SALES LLC,CEDAR PARK,US,,
2588,2019-01-23,14546,complete,7,7,PLAY-ASIA.COM (USD),Lai Chi Kok,HK,,
2589,2019-01-23,14549,complete,6,6,Sea Gamer Mall Sdn Bhd,Sitiawan,MY,,
2590,2019-01-22,14530,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2591,2019-01-22,14526,complete,22,22,OffGamers Global Pte Ltd (USD),Singapore,SG,,
2592,2019-01-23,14555,complete,55,55,MICROSIS SRL,Ciudad Autonoma,AR,,
2593,2019-01-23,14556,complete,111,111,Fullcodigos Limitada,Racagua,CD,,
2594,2019-01-23,14532,complete,15,15,MMOGA LIMITED,Kowloon,HK,,
2595,2019-01-23,14553,complete,16,16,PayThem.Net WLL,Doha,QA,,
2596,2019-01-23,14552,complete,53,53,FJENTERPRISE,Santa Cruz,BO,,
2597,2019-01-23,14554,complete,53,53,FJENTERPRISE,Santa Cruz,BO,,
2598,2019-01-23,14547,complete,53,53,FJENTERPRISE,Santa Cruz,BO,,
2599,2019-01-23,14544,complete,18,18,Skincell,Santa Cruz,BO,,
2600,2019-01-23,14545,complete,82,82,R & R Exclusive inc BDA Red Dot,Glendale,US,,
2601,2019-01-23,14550,complete,28,28,Onequark SPA,Santiago,CL,,
2602,2019-01-23,14548,complete,7,7,PLAY-ASIA.COM (USD),Lai Chi Kok,HK,,
2603,2019-01-23,14543,complete,64,64,Florida State Games,Coconut Creek,US,,
2604,2019-01-23,14391-RR,complete,7,7,PLAY-ASIA.COM (USD),Lai Chi Kok,HK,,
2605,2019-01-24,14567,complete,90,90,PANAMA GAMES,Miami,US,,
2606,2019-01-24,14566,complete,82,82,R & R Exclusive inc BDA Red Dot,Glendale,US,,
2607,2019-01-24,14563,complete,120,120,TRIA FZE,DUBAI,AE,,
2608,2019-01-24,14564,complete,14,14,IBANEZBLACK,Lombok Barat,ID,,
2609,2019-01-24,14562,deleted,123,123,Soft-Gate Technology,Yangon,MM,,
2610,2019-01-24,14561,complete,18,18,Skincell,Santa Cruz,BO,,
